,pos_amount_max_1mb,pos_amount_max_2mb,pos_amount_max_3mb,pos_amount_min_1mb,pos_amount_min_2mb,pos_amount_min_3mb,pos_amount_avg_1mb,pos_amount_avg_2mb,pos_amount_avg_3mb,pos_count_1mb,pos_count_2mb,pos_count_3mb,neg_amount_avg_1mb,neg_amount_avg_2mb,neg_amount_avg_3mb,neg_amount_max_1mb,neg_amount_max_2mb,neg_amount_max_3mb,neg_amount_min_1mb,neg_amount_min_2mb,neg_amount_min_3mb,neg_count_1mb,neg_count_2mb,neg_count_3mb,balance_avg_1mb,balance_avg_2mb,balance_avg_3mb,balance_min_1mb,balance_min_2mb,balance_min_3mb,balance_max_1mb,balance_max_2mb,balance_max_3mb,age,gender,A4,A5,A6,A7,A11,A13,A14,A16,has_card,permonth,amount,ndisp,class
1246,6395.0,44991.0,44398.0,252.1,287.9,148.2,3323.55,22639.45,23630.733333333334,2.0,2.0,3.0,-3685.5199999999995,-7837.933333333333,-8045.5199999999995,-14.6,-14.6,-14.6,-9100.0,-24600.0,-25500.0,5.0,6.0,5.0,60724.583333333365,68505.9290322581,34481.01935483871,51480.8,57734.6,19870.0,69893.8,102725.6,90614.0,27.55890410958904,0,1204953,0,0,0,12541,0.43,167,99107,0,1873.0,44952.0,1,0
1258,12342.0,12342.0,12342.0,78.4,92.1,122.5,6210.2,6217.05,6232.25,2.0,2.0,2.0,-3620.65,-3895.65,-4895.65,-14.6,-14.6,-14.6,-8800.0,-9800.0,-8500.0,4.0,4.0,4.0,18256.52666666667,22918.387096774193,29795.5322580645,9983.0,18705.5,21823.6,22325.0,34273.5,41391.6,19.98904109589041,1,1204953,0,0,0,12541,0.43,167,99107,0,8460.0,101520.0,1,0
1270,3700.0,114.1,34138.0,60.0,114.1,153.7,1880.0,114.1,17145.85,2.0,1.0,2.0,-2657.3,-4628.65,-9038.199999999999,-14.6,-14.6,-14.6,-5300.0,-9300.0,-17900.0,2.0,4.0,3.0,12707.432258064517,22016.225806451603,36001.80333333334,9735.0,14935.6,17058.5,15035.0,33435.6,51196.5,47.45205479452055,1,1204953,0,0,0,12541,0.43,167,99107,0,6930.0,415800.0,1,0
1276,35469.0,23646.0,23646.0,278.4,259.4,256.4,17873.7,11952.7,11951.2,2.0,2.0,2.0,-5991.32,-6489.15,-5664.15,-14.6,-14.6,-14.6,-19300.0,-19700.0,-16500.0,5.0,4.0,4.0,64357.3266666667,60437.929032258064,61588.45999999997,41689.8,43341.0,44895.2,77158.8,66987.0,68541.2,25.410958904109588,0,1204953,0,0,0,12541,0.43,167,99107,0,561.0,20196.0,1,0
1303,42438.0,43867.0,42767.0,290.4,231.7,172.5,25011.13333333333,22049.35,23217.3,3.0,2.0,5.0,-10722.371428571429,-8914.933333333332,-12667.15,-14.6,-14.6,-14.6,-22893.0,-20439.0,-37000.0,7.0,6.0,4.0,69662.61290322579,56747.88333333331,49287.10967741935,35942.5,34595.4,22667.1,92784.5,99439.0,99439.0,35.28493150684932,0,1204953,0,0,0,12541,0.43,167,99107,0,2043.0,24516.0,1,0
1307,9431.0,14146.0,9431.0,63.1,129.7,101.6,4998.033333333334,7137.85,5077.533333333334,3.0,2.0,3.0,-2410.509090909091,-2401.95,-2267.12,-14.6,-14.6,-14.6,-11800.0,-8700.0,-7300.0,11.0,8.0,5.0,14574.635483870958,31467.316129032257,24582.84,8848.6,22803.5,22071.5,22933.2,42004.5,33392.5,61.87671232876713,0,1204953,0,0,0,12541,0.43,167,99107,0,8933.0,428784.0,2,0
1323,10601.0,10601.0,13000.0,167.0,150.6,122.7,3856.0,6583.866666666666,7907.900000000001,3.0,3.0,3.0,-4760.533333333334,-4393.866666666667,-3540.8,-14.6,-14.6,-14.6,-7200.0,-7067.0,-7067.0,3.0,3.0,2.0,41563.84666666667,36015.71290322581,26971.689285714296,35761.1,25957.0,15414.9,49228.1,38627.1,32057.0,34.00821917808219,1,1204953,0,0,0,12541,0.43,167,99107,0,5681.0,136344.0,2,0
1355,12149.0,12149.0,12149.0,75.8,95.1,90.7,6112.4,4648.033333333334,5413.233333333334,2.0,3.0,3.0,-3122.7200000000003,-3053.4,-3103.4,-14.6,-14.6,-14.6,-5100.0,-4100.0,-4300.0,5.0,4.0,4.0,17699.91333333334,22946.14516129033,22347.485714285704,12991.7,18775.9,18685.1,25140.7,32610.3,31084.1,44.66575342465753,1,1204953,0,0,0,12541,0.43,167,99107,0,4472.0,268320.0,1,0
1368,222.3,18553.0,43249.0,222.3,206.6,370.6,222.3,9801.533333333333,21809.8,1.0,3.0,2.0,-7703.65,-3728.65,-13908.933333333334,-14.6,-14.6,-14.6,-14300.0,-10800.0,-34200.0,4.0,4.0,6.0,52244.67000000003,48313.116129032234,88946.55333333336,35277.6,38187.7,51231.7,66092.2,66092.2,132770.7,55.80821917808219,1,1204953,0,0,0,12541,0.43,167,99107,0,2604.0,31248.0,1,0
1404,102.6,3000.0,45593.0,102.6,99.9,224.8,102.6,1549.95,22908.9,1.0,2.0,2.0,-957.3,-907.3,-18983.266666666666,-14.6,-14.6,-14.6,-1900.0,-1800.0,-54800.0,2.0,2.0,6.0,23344.243333333347,25666.712903225798,45214.66129032258,22957.9,23587.3,23362.5,24872.5,26572.7,106347.5,41.84931506849315,1,1204953,0,0,0,12541,0.43,167,99107,0,2144.0,77184.0,1,0
1447,8901.0,13352.0,8901.0,66.8,86.4,95.3,4855.933333333333,6719.2,3765.433333333333,3.0,2.0,3.0,-2359.3999999999996,-3126.92,-4004.866666666667,-14.6,-14.6,-14.6,-6100.0,-6500.0,-6200.0,9.0,5.0,3.0,14834.870967741928,20563.909677419353,21748.566666666666,10378.6,14154.8,16193.2,23679.6,27506.8,27394.2,26.972602739726028,0,1204953,0,0,0,12541,0.43,167,99107,0,5269.0,316140.0,1,1
1453,12861.0,8574.0,8574.0,110.5,80.4,111.2,4890.5,4184.8,4342.6,3.0,3.0,2.0,-2365.1,-1432.65,-2890.085714285714,-14.6,-14.6,-14.6,-5100.0,-2389.0,-7500.0,6.0,4.0,7.0,27313.825806451627,19850.72666666667,27234.516129032272,21360.8,15852.0,15755.4,35536.8,24426.0,35971.4,37.53972602739726,1,1204953,0,0,0,12541,0.43,167,99107,0,6365.0,76380.0,1,0
1455,17069.0,17069.0,17069.0,167.3,148.0,115.9,8618.15,8608.5,8592.45,2.0,2.0,2.0,-13400.0,-12400.0,-8100.0,-13400.0,-12400.0,-8100.0,-13400.0,-12400.0,-8100.0,1.0,1.0,1.0,50174.312903225786,45371.89999999999,37206.23870967742,39429.4,34612.4,25527.5,56498.4,51681.4,42596.5,32.178082191780824,1,1204953,0,0,0,12541,0.43,167,99107,0,1547.0,18564.0,1,0
1468,188.1,48855.0,10100.0,188.1,148.3,89.6,188.1,18644.075,5094.8,1.0,4.0,2.0,-4728.433333333333,-5537.433333333333,-3286.65,-14.6,-14.6,-14.6,-12500.0,-16278.0,-7824.0,6.0,6.0,4.0,44977.87741935481,35729.18387096774,21369.67000000001,36477.7,9850.0,13306.9,64833.7,68000.0,26438.9,56.04383561643836,0,1204953,0,0,0,12541,0.43,167,99107,0,2081.0,74916.0,1,0
1476,47679.0,31786.0,31786.0,221.4,290.9,269.0,16043.166666666666,10789.4,10774.800000000001,3.0,3.0,3.0,-17003.65,-8078.65,-28500.0,-14.6,-14.6,-28500.0,-56900.0,-21900.0,-28500.0,4.0,4.0,1.0,54469.82258064513,71651.69333333337,67124.0709677419,46799.2,66552.6,63001.2,109399.2,98852.6,95028.2,37.78082191780822,1,1204953,0,0,0,12541,0.43,167,99107,0,5298.0,63576.0,1,0
1482,10256.0,5305.0,2500.0,117.6,142.6,155.5,6524.533333333333,3282.5333333333333,1327.75,3.0,3.0,2.0,-4416.9,-4822.533333333334,-4055.866666666667,-14.6,-14.6,-14.6,-8753.0,-8753.0,-8753.0,4.0,3.0,3.0,30920.49032258063,29930.466666666653,37363.71612903226,22800.2,27525.2,32273.2,36853.2,37578.2,41785.4,25.0,1,1204953,0,0,0,12541,0.43,167,99107,0,5916.0,212976.0,2,0
1493,17123.0,16540.0,256.9,206.4,218.5,256.9,8664.7,8379.25,256.9,2.0,2.0,1.0,-11500.0,-5200.0,-11200.0,-11500.0,-5200.0,-11200.0,-11500.0,-5200.0,-11200.0,1.0,1.0,1.0,44508.293548387075,43724.816666666644,39507.20000000002,36562.7,31304.2,36247.3,53892.1,48062.7,47447.3,30.208219178082192,0,1204953,0,0,0,12541,0.43,167,99107,0,7179.0,258444.0,1,0
1498,10773.0,252.6,49853.0,181.8,252.6,335.7,5477.4,252.6,29853.925,2.0,1.0,4.0,-3383.65,-4255.766666666666,-11536.800000000001,-14.6,-14.6,-14.6,-10120.0,-10120.0,-30300.0,4.0,6.0,7.0,40765.764516129006,60621.139999999985,80325.46129032258,33390.7,43525.3,26234.7,44163.7,68807.3,124071.7,47.701369863013696,1,1204953,0,0,0,12541,0.43,167,99107,0,2756.0,99216.0,2,0
1500,19612.0,19612.0,19612.0,256.0,248.5,217.5,9934.0,9930.25,9914.75,2.0,2.0,2.0,-6133.65,-13200.0,-11000.0,-14.6,-13200.0,-11000.0,-16600.0,-13200.0,-11000.0,4.0,1.0,1.0,57269.17419354842,56218.949999999975,49791.36129032256,46157.7,42897.2,36267.7,65769.6,62757.7,56097.2,27.84931506849315,0,1204953,0,0,0,12541,0.43,167,99107,0,1299.0,31176.0,1,0
1501,16248.0,16248.0,16248.0,133.9,142.8,161.8,8190.95,8195.4,8204.9,2.0,2.0,2.0,-2245.52,-2945.95,-4781.9,-14.6,-14.6,-14.6,-4235.0,-5800.0,-12900.0,5.0,8.0,4.0,31602.97741935483,34151.97333333335,38295.254838709654,21258.1,28234.9,32052.7,37506.1,44482.9,48300.7,37.18356164383562,1,1204953,0,0,0,12541,0.43,167,99107,0,1272.0,61056.0,1,0
1502,22065.0,22065.0,22065.0,137.0,144.7,151.2,11101.0,11104.85,11108.1,2.0,2.0,2.0,-3726.5142857142855,-3240.7999999999997,-3780.933333333333,-14.6,-14.6,-14.6,-11800.0,-8500.0,-13200.0,7.0,7.0,6.0,33427.746666666666,34377.67741935484,36231.32258064517,29062.0,27323.0,32192.4,53212.0,46753.0,54257.4,56.082191780821915,0,1204953,0,0,0,12541,0.43,167,99107,0,489.0,11736.0,1,0
1503,21417.0,21417.0,21417.0,201.7,183.5,143.8,10809.35,10800.25,10780.4,2.0,2.0,2.0,-4483.9,-3133.9,-2708.9,-14.6,-14.6,-14.6,-8900.0,-8521.0,-8521.0,4.0,4.0,4.0,47553.070000000014,43821.80967741933,34238.68571428571,29197.1,25332.2,16307.0,50614.1,46749.2,37724.0,35.21917808219178,1,1204953,0,0,0,12541,0.43,167,99107,0,429.0,5148.0,1,0
1504,42727.0,46815.0,34448.0,323.6,197.6,181.1,18791.22,22053.06,11603.433333333332,5.0,5.0,3.0,-17688.333333333332,-13226.0,-4532.5,-30.0,-30.0,-30.0,-52700.0,-41500.0,-10000.0,6.0,5.0,4.0,79276.35483870964,48846.07666666667,44642.345161290345,51570.4,20235.1,26154.8,93633.4,97203.1,60602.8,57.21643835616438,0,1204953,0,0,0,12541,0.43,167,99107,0,7518.0,270648.0,1,1
1506,37270.0,37489.0,221.2,156.0,111.7,221.2,18713.0,18800.35,221.2,2.0,2.0,1.0,-7201.4,-7421.12,-5968.533333333333,-14.6,-14.6,-14.6,-21100.0,-15600.0,-13000.0,4.0,5.0,3.0,37170.241935483864,26470.57333333335,58145.738709677455,29326.1,15030.9,36315.3,66596.1,52519.9,92106.3,38.73972602739726,1,1204953,0,0,0,12541,0.43,167,99107,0,4589.0,110136.0,1,0
1507,34065.0,14512.0,43477.0,114.7,246.8,334.5,13493.233333333332,5452.933333333333,23483.166666666668,3.0,3.0,3.0,-1757.3,-9312.65,-14312.228571428572,-14.6,-14.6,-14.6,-3500.0,-21136.0,-25700.0,2.0,4.0,7.0,44800.7548387097,43442.833333333365,92466.39677419355,22824.5,34016.3,51252.5,63289.6,64916.3,121367.5,20.476712328767125,1,1204953,0,0,0,12541,0.43,167,99107,0,2881.0,34572.0,1,0
1508,11793.0,11793.0,17689.5,115.8,107.0,145.6,4969.599999999999,5950.0,8917.55,3.0,2.0,2.0,-1081.3200000000002,-2191.276923076923,-2457.766666666667,-14.6,-14.6,-14.6,-3520.0,-7360.0,-8500.0,5.0,13.0,6.0,27654.864285714284,25778.87096774192,34598.61612903225,20378.0,17164.6,21536.1,32272.2,39356.6,39356.6,52.83013698630137,1,1204953,0,0,0,12541,0.43,167,99107,0,1432.0,17184.0,1,0
1509,29295.0,29295.0,29295.0,112.1,114.0,109.4,14703.55,14704.5,10301.466666666667,2.0,2.0,3.0,-5124.099999999999,-4574.099999999999,-3136.15,-14.6,-14.6,-14.6,-13900.0,-11800.0,-11766.0,6.0,6.0,4.0,26335.609677419372,27830.013333333332,26545.935483870955,19908.4,22244.0,3884.1,49203.4,51539.0,33915.1,26.53698630136986,1,1204953,0,0,0,12541,0.43,167,99107,0,4882.0,234336.0,1,0
1510,4347.0,4347.0,4347.0,100.0,105.1,100.2,2223.5,2150.7000000000003,2223.6,2.0,3.0,2.0,-958.9428571428572,-735.4333333333334,-873.2285714285715,-14.6,-14.6,-14.6,-2683.0,-2683.0,-2683.0,7.0,6.0,7.0,23461.32258064515,25176.913333333327,23661.780645161278,23068.6,23336.2,23250.6,25375.6,26885.2,25650.6,46.54520547945206,1,1204953,0,0,0,12541,0.43,167,99107,0,1352.0,48672.0,2,0
1512,24800.0,24800.0,24800.0,184.9,179.1,174.3,12492.45,12489.55,12487.15,2.0,2.0,2.0,-5656.15,-5006.15,-4656.15,-14.6,-14.6,-14.6,-14000.0,-11300.0,-8100.0,4.0,4.0,4.0,49284.55806451613,42459.886666666665,41618.625806451586,26731.0,26976.4,19426.7,51531.0,45666.4,44226.7,43.586301369863016,1,1204953,0,0,0,12541,0.43,167,99107,0,3399.0,203940.0,1,0
1513,30354.0,20236.0,20236.0,150.2,143.4,102.9,15252.1,10189.7,10169.45,2.0,2.0,2.0,-4982.371428571429,-3920.15,-3270.15,-14.6,-14.6,-14.6,-13396.0,-7266.0,-7266.0,7.0,4.0,4.0,34855.48709677418,32708.460000000014,25316.090322580647,21655.6,21156.8,13898.5,52009.6,41392.8,31334.5,48.95068493150685,0,1204953,0,0,0,12541,0.43,167,99107,0,3373.0,80952.0,2,0
1517,14845.0,14845.0,22267.5,107.1,101.6,131.9,7476.05,7282.2,11199.7,2.0,3.0,2.0,-1933.65,-3159.46,-3674.9199999999996,-14.6,-14.6,-14.6,-6020.0,-7840.0,-7500.0,4.0,10.0,5.0,24272.68928571429,24449.090322580658,31141.387096774193,15380.2,14413.3,16263.5,30225.2,32933.3,38531.0,44.99178082191781,0,1204953,0,0,0,12541,0.43,167,99107,0,1322.0,31728.0,2,0
1519,41771.0,40744.0,175.2,277.9,96.5,175.2,20391.3,17713.5,175.2,3.0,3.0,1.0,-9245.766666666666,-3294.9199999999996,-3932.2,-14.6,-14.6,-14.6,-33200.0,-7383.0,-7400.0,6.0,5.0,8.0,65620.64642857146,22752.9935483871,42164.73225806453,53606.6,9340.7,25640.1,101102.6,62481.2,57097.7,38.608219178082194,0,1204953,0,0,0,12541,0.43,167,99107,0,3937.0,94488.0,1,0
1520,31937.0,31937.0,31937.0,185.2,197.6,206.9,16061.1,16067.3,16071.95,2.0,2.0,2.0,-6975.15,-8276.933333333332,-30600.0,-14.6,-14.6,-30600.0,-12886.0,-19376.0,-30600.0,4.0,6.0,1.0,46486.60967741938,60521.84999999996,71458.59354838707,33589.9,33392.4,49558.4,65512.3,83039.4,81495.4,42.635616438356166,1,1204953,0,0,0,12541,0.43,167,99107,0,3816.0,91584.0,1,0
1521,26040.0,26040.0,26040.0,241.9,245.1,242.3,13140.95,13142.55,13141.15,2.0,2.0,2.0,-7759.8,-5667.5,-4249.5,-30.0,-30.0,-30.0,-17300.0,-15000.0,-7500.0,5.0,4.0,4.0,57001.71290322578,57878.84,57945.48387096771,39400.2,38085.0,36300.7,65440.2,64125.0,62340.7,26.147945205479452,1,1204953,0,0,0,12541,0.43,167,99107,0,4340.0,208320.0,2,0
1523,27116.0,26058.0,10500.0,17.5,8.7,10500.0,9090.199999999999,8693.266666666666,10500.0,3.0,3.0,1.0,-15200.0,-6000.0,0.0,-15200.0,-6000.0,0.0,-15200.0,-6000.0,0.0,1.0,1.0,0.0,48667.106451612926,24598.326666666668,1816.1290322580646,31379.8,11300.0,800.0,58495.8,37358.0,11300.0,58.536986301369865,0,1204953,0,0,0,12541,0.43,167,99107,0,4806.0,288360.0,1,0
1524,11036.0,11036.0,11036.0,28.3,33.0,34.4,3699.1999999999994,3700.866666666667,3051.2,3.0,3.0,4.0,-3090.5333333333333,-3967.9,-3123.866666666667,-14.6,-14.6,-14.6,-7357.0,-7357.0,-7357.0,3.0,4.0,3.0,8597.341935483864,8464.569999999992,11247.429032258071,4641.8,4608.3,6578.8,15696.3,18965.3,18732.2,18.115068493150684,1,1204953,0,0,0,12541,0.43,167,99107,0,1839.0,88272.0,1,0
1525,36791.0,36791.0,36791.0,174.5,157.4,150.2,12404.9,12381.166666666666,12369.4,3.0,3.0,3.0,-7918.599999999999,-4877.9,-3971.16,-14.6,-14.6,-14.6,-24400.0,-9500.0,-8100.0,6.0,4.0,10.0,45570.46774193546,49065.07857142857,39159.919354838734,33091.7,19059.9,19363.3,56203.3,56203.3,53754.3,40.45479452054794,1,1204953,0,0,0,12541,0.43,167,99107,0,3098.0,74352.0,1,0
1526,17273.0,25353.0,49974.0,176.4,136.3,149.6,5282.85,8568.166666666666,14466.199999999999,4.0,3.0,4.0,-6445.75,-6827.2,-12388.6,-30.0,-30.0,-30.0,-19840.0,-22193.0,-41600.0,4.0,5.0,5.0,47605.3433333333,53687.022580645185,75149.15666666665,38525.7,47035.7,53502.4,64278.7,75577.1,110933.4,51.56164383561644,0,1204953,0,0,0,12541,0.43,167,99107,0,2089.0,125340.0,1,0
1527,26384.0,17589.0,17589.0,100.0,138.3,132.8,8878.733333333334,5767.349999999999,5952.400000000001,3.0,4.0,3.0,-3670.825,-2847.7666666666664,-2747.7666666666664,-14.6,-14.6,-14.6,-10900.0,-9300.0,-8700.0,8.0,6.0,6.0,37256.96451612901,34995.11333333335,32922.4677419355,32665.7,29625.9,28255.3,61992.7,47214.9,45844.3,25.980821917808218,1,1204953,0,0,0,12541,0.43,167,99107,0,9444.0,566640.0,2,0
1530,14878.0,14878.0,14878.0,80.9,103.6,101.9,5022.3,5029.633333333333,5027.266666666666,3.0,3.0,3.0,-3521.15,-3032.92,-2864.92,-14.6,-14.6,-14.6,-6400.0,-6270.0,-6270.0,4.0,5.0,5.0,25501.53333333334,25613.174193548388,25040.022580645167,15923.8,16899.5,14802.3,30801.8,31777.5,29680.3,44.221917808219175,0,1204953,0,0,0,12541,0.43,167,99107,0,1472.0,70656.0,1,0
1531,21804.0,21804.0,21804.0,93.5,27.1,21.6,7364.933333333333,7331.466666666666,7323.0,3.0,3.0,3.0,-6715.65,-20600.0,-16500.0,-14.6,-20600.0,-16500.0,-9700.0,-20600.0,-16500.0,4.0,1.0,1.0,47501.48000000001,47804.85806451616,43268.30333333332,35476.6,39126.3,33657.2,62324.6,60930.3,55461.2,28.91780821917808,1,1204953,0,0,0,12541,0.43,167,99107,0,3179.0,38148.0,1,0
1532,13022.0,13022.0,19533.0,197.6,202.1,179.8,5281.025,4506.549999999999,5273.5,4.0,4.0,4.0,-4132.719999999999,-3415.9,-3165.9,-14.6,-14.6,-14.6,-7800.0,-6200.0,-5200.0,5.0,4.0,4.0,51220.222580645146,50364.73870967744,44762.86333333333,38234.4,35471.8,28041.5,58956.4,53295.9,49135.4,37.463013698630135,1,1204953,0,0,0,12541,0.43,167,99107,0,6707.0,321936.0,2,0
1535,1500.0,38389.0,5800.0,120.0,203.6,106.3,810.0,19296.3,2953.15,2.0,2.0,2.0,-2251.6666666666665,-6891.0,-1918.3333333333333,-30.0,-30.0,-30.0,-3500.0,-27000.0,-3225.0,3.0,5.0,3.0,27699.3677419355,39428.52000000002,24871.31612903226,25638.4,23425.8,20849.5,30863.4,58589.8,26725.8,50.326027397260276,1,1204953,0,0,0,12541,0.43,167,99107,0,3358.0,120888.0,1,0
1536,40959.0,22782.0,6800.0,177.6,153.9,92.8,20568.3,11467.95,3446.4,2.0,2.0,2.0,-6337.25,-3312.25,-2616.3333333333335,-30.0,-30.0,-30.0,-16500.0,-5300.0,-5119.0,4.0,4.0,3.0,40647.420000000006,37169.612903225796,21160.792857142853,25993.0,20006.1,18262.3,66952.0,42788.1,26081.3,23.10958904109589,0,1204953,0,0,0,12541,0.43,167,99107,0,3033.0,36396.0,1,0
1537,14859.0,14859.0,14859.0,226.9,217.6,187.1,7542.95,7538.3,7523.05,2.0,2.0,2.0,-5238.2,-8300.0,-6000.0,-14.6,-8300.0,-6000.0,-9100.0,-8300.0,-6000.0,3.0,1.0,1.0,53645.67419354841,51469.55333333334,44560.870967741925,45377.6,39401.0,32654.9,60236.6,54477.6,47701.0,35.32876712328767,0,1204953,0,0,0,12541,0.43,167,99107,0,6341.0,228276.0,2,0
1539,36199.0,369.2,369.2,321.8,369.2,369.2,18260.4,369.2,369.2,2.0,1.0,1.0,-3000.0,-5300.0,-8700.0,-3000.0,-5300.0,-8700.0,-3000.0,-5300.0,-8700.0,1.0,1.0,1.0,34204.307142857135,24525.05161290324,30613.819354838695,20514.6,23145.4,28076.1,57035.4,28445.4,36776.1,26.523287671232875,1,1204953,0,0,0,12541,0.43,167,99107,0,4363.0,157068.0,1,0
1540,28659.0,19106.0,19106.0,109.8,100.2,94.7,14384.4,6935.400000000001,7266.900000000001,2.0,3.0,3.0,-4867.433333333333,-4574.65,-4152.92,-14.6,-14.6,-14.6,-10597.0,-10597.0,-10597.0,6.0,4.0,5.0,28971.3193548387,24329.919999999987,22964.84193548387,10398.7,12491.1,9255.0,39057.7,28082.7,28361.0,57.397260273972606,0,1204953,0,0,0,12541,0.43,167,99107,0,3184.0,76416.0,2,0
1542,23252.0,37877.0,42317.0,230.5,178.8,137.9,9617.833333333334,16441.45,21749.975,3.0,4.0,4.0,-14139.75,-11786.0,-6143.0,-30.0,-30.0,-30.0,-34700.0,-33300.0,-12400.0,4.0,5.0,10.0,55287.62258064519,42087.45714285714,33529.2258064516,21297.8,23968.0,4498.1,72526.8,72948.0,53029.1,29.21917808219178,0,1204953,0,0,0,12541,0.43,167,99107,0,5814.0,279072.0,2,0
1545,18081.0,18081.0,27122.0,141.5,215.8,255.9,9111.25,9148.4,13688.95,2.0,2.0,2.0,-4464.2,-5383.942857142857,-15000.0,-14.6,-14.6,-15000.0,-11600.0,-18500.0,-15000.0,8.0,7.0,1.0,32478.229032258045,49442.329032258065,59470.2966666667,26856.1,44146.0,36360.1,49321.2,63738.0,63738.0,34.11506849315069,0,1204953,0,0,0,12541,0.43,167,99107,0,3014.0,36168.0,1,0
1547,32243.0,18339.0,33149.0,348.5,362.6,220.1,13527.833333333334,9350.8,14445.300000000001,3.0,2.0,7.0,-7703.65,-14404.866666666667,-14.6,-14.6,-14.6,-14.6,-18600.0,-38000.0,-14.6,4.0,3.0,1.0,83045.29666666662,72304.10967741936,54671.53448275862,51089.4,63102.5,1000.0,91324.4,101102.5,101102.5,41.69041095890411,0,1204953,0,0,0,12541,0.43,167,99107,0,6484.0,77808.0,2,0
1549,40377.0,40377.0,40377.0,187.5,174.4,140.1,20282.25,20275.7,20258.55,2.0,2.0,2.0,-6051.571428571428,-5600.833333333333,-5992.0,-30.0,-30.0,-30.0,-12656.0,-16200.0,-20239.0,7.0,6.0,7.0,43831.24999999998,41806.45806451612,33472.77096774192,24143.2,24496.9,19523.7,64520.2,64873.9,59900.7,22.405479452054795,0,1204953,0,0,0,12541,0.43,167,99107,0,6436.0,231696.0,2,0
1551,139.3,9713.0,164.0,139.3,18.0,164.0,139.3,3297.0,164.0,1.0,3.0,1.0,-3100.0,-5200.0,-2600.0,-3100.0,-5200.0,-2600.0,-3100.0,-5200.0,-2600.0,1.0,1.0,1.0,33111.47666666667,31546.177419354823,31003.028571428556,30523.5,28932.6,28768.6,33623.5,38645.6,31368.6,34.397260273972606,0,1204953,0,0,0,12541,0.43,167,99107,0,5983.0,215388.0,1,1
1552,14037.0,14037.0,14037.0,84.6,87.4,88.8,3801.6,4828.0,4553.724999999999,4.0,4.0,4.0,-3502.2285714285713,-3332.6,-3439.12,-14.6,-14.6,-14.6,-9400.0,-9200.0,-9400.0,7.0,6.0,5.0,21797.519999999986,22390.96774193548,22641.050000000014,12909.6,17113.2,18893.9,33282.6,33966.2,32946.9,18.59178082191781,1,1204953,0,0,0,12541,0.43,167,99107,0,8049.0,482940.0,1,1
1553,30142.0,30142.0,30142.0,115.7,119.8,115.7,15128.85,15130.9,15128.85,2.0,2.0,2.0,-4433.32,-6390.433333333333,-4613.32,-14.6,-14.6,-14.6,-14700.0,-15700.0,-15700.0,5.0,6.0,5.0,27673.99999999999,28675.019354838725,28962.435714285726,17217.6,20912.4,21922.0,47359.6,55940.4,52049.4,19.405479452054795,1,1204953,0,0,0,12541,0.43,167,99107,0,3810.0,45720.0,1,0
1554,18902.0,18902.0,28353.0,160.1,115.7,175.5,9531.05,6772.566666666667,14264.25,2.0,3.0,2.0,-2612.4,-2516.5333333333333,-8041.599999999999,-14.6,-14.6,-14.6,-5435.0,-5435.0,-24000.0,4.0,3.0,6.0,37918.26774193547,27261.63870967741,41873.56999999998,25526.2,12758.1,18032.2,44428.2,31660.1,57532.2,37.24109589041096,0,1204953,0,0,0,12541,0.43,167,99107,0,1912.0,68832.0,1,0
1555,32823.0,21882.0,21882.0,104.7,152.4,140.7,11709.233333333332,11017.2,11011.35,3.0,2.0,2.0,-9248.4,-4410.5,-4860.5,-30.0,-30.0,-30.0,-24000.0,-7400.0,-7700.0,5.0,4.0,4.0,24681.956666666654,38007.69677419357,33203.42333333332,19705.6,30243.3,23232.6,52528.6,52095.3,45114.6,40.38356164383562,0,1204953,0,0,0,12541,0.43,167,99107,0,3647.0,131292.0,1,0
1556,12500.0,70.5,290.5,28.0,67.6,290.5,4185.666666666667,69.05,290.5,3.0,2.0,2.0,-3338.2000000000003,-5851.825,-11078.65,-14.6,-14.6,-14.6,-7000.0,-13900.0,-34100.0,3.0,8.0,4.0,13171.078571428578,19417.519354838725,61872.232258064476,10061.9,7438.4,53671.9,20061.9,54253.0,97986.5,18.972602739726028,0,1204953,0,0,0,12541,0.43,167,99107,0,7041.0,168984.0,1,1
1557,160.9,271.7,45740.0,160.9,271.7,254.9,160.9,271.7,21459.483333333334,1.0,1.0,6.0,-4370.12,-8562.65,-14910.12,-14.6,-14.6,-14.6,-9100.0,-26900.0,-46100.0,5.0,4.0,5.0,38093.899999999994,64365.82666666662,59228.958064516104,26011.1,47589.9,27634.3,47861.7,81840.5,81840.5,30.745205479452054,1,1204953,0,0,0,12541,0.43,167,99107,0,3004.0,108144.0,2,0
1559,44643.0,44643.0,44643.0,233.5,259.9,250.7,22438.25,22451.45,22446.85,2.0,2.0,2.0,-8629.45,-6465.32,-7518.5142857142855,-14.6,-14.6,-14.6,-22830.0,-14800.0,-18400.0,8.0,5.0,7.0,56821.50333333336,59541.13548387097,57961.596774193524,35685.8,29988.5,34124.4,80328.8,74631.5,78767.4,49.97808219178082,0,1204953,0,0,0,12541,0.43,167,99107,0,7440.0,89280.0,1,0
